,Translated Tweets
2270,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Good luck
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2271,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
One at a time ssob
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2272,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
I really don't like it
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2273,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
😭😭 I want to cry
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2274,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
I still don't really notice
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2275,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Do I lose speed?
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2276,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Grilled chicken
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2277,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Pain in heart mahopia
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2278,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Ssobbbbbbbbbb
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2279,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
3
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2280,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
2
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2281,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
1
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2282,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Ssob😭😭😭😭😭
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2283,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Dimoko lab huh
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2284,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
It really makes me cry
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2285,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
I hope so
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2286,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
First race, hopia immediately
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2287,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Even if it's just a dot
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2288,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
I just want motivation
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2289,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
I hope this is visible
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2290,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Just an Alabyu ssob
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2291,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Panotic pooooo
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2292,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Heartache 😭😭😭
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2293,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
It's a pain in the heart😭
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2294,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
It makes me cry
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2295,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
It's a ""Daisuki"" ssob
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2296,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
It's just a hi
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2297,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Loveyo ssob
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2298,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
Please pay attention 😭 loveyou
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2299,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. I hope

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2300,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. 😭😭😭😭

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2301,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
love love💙
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2302,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.
I am Hopi
#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2303,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. loveyou
@JoshCullen_s

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2304,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. Thank you
@JoshCullen_s

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2305,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. HAHAHA
But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. crying
@JoshCullen_s

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2306,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. HAHAHA
But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. Daisuki
@JoshCullen_s

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2307,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. HAHAHA
But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. haha
@JoshCullen_s

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2308,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now.

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2309,"@SB19Official So much stress at school, especially now. I'm an engineering student and it's really hard to study online. Super stressful. HAHAHA
But thanks to you, thanks to SB19, it looks like my GPA is on the line of 1 now. haha
@JoshCullen_s

#SB19MAPALyricCard #SB19MAPA #SB19MENPA_JOSH"
2310,"Graduate without a medal? Even the gift is great because we survived the online class. Imagine the stress, anxiety, and depression we experienced to study in this time."
2311,"TIRED OF STUDYING? DEVIL!!! I HAVE BEEN MORE STUPID NOW ONLINE CLASS HAHAHAAH WE SHOULD BE INTELLIGENT BECAUSE YOU CAN OPEN GOOGLE ANYTIME, BUT WHY ARE YOU NOT BEING PRODUCTIVE ANYMORE??

JUST DROP IT HAHAHAHA"
2312,"I'm really not in the mood to study anymore, I hate online classes"
2313,"so I'm going to study in the afternoon, said Papa, I've only been there for a year. Or when it's still an online class next sem I'll be there first."
2314,"There are those who did not learn reading comprehension when they were in elem. That's because it says you should study but what are you doing online without having background knowledge about it. I say, do your modules 😤"
2315,"@queenb0808 Huhuhu I cry for you whoever you are Lucille Claire, I don't want to question how she was raised but I can't help it. Study hard first and learn what is wrong and right before it's too late.
KOBIE ONLINE HELLO"
2316,"MOMMMYYY I DON'T WANT TO STUDY 😭😭😭
...
IF ONLY ONLINE CLASS ALSO AGAIN.

(maybe my mom will hit me, maybe I won't study anymore jk)"
2317,"I hope it's not an online class next time, I might really run out of will to study pfft"
2318,"They keep on asking me:

""So when do you plan to study?""
""Why can't you handle the online class?""
""You'll be left behind oh""

First of all, one person can't handle pork, others can handle it. Second, I know what's the best for me. Last, I don't talk first.

That's all.😁"
2319,"saw a tweet from an alumni saying ""you are very lucky because you didn't catch oldies prof &amp; looser dept now” tf? when was it lucky to study in the middle of the pandemic? when have online classes been lucky? hey 🤡"
2320,"I still want to study even though it's very difficult when online, I want to continue my dream, I want to make up for myself and my mother, I hope I can handle it and always fight."
2321,"You can't invalidate the difficulty of the online class. My exams but I just want to finish. I don't study anymore. Before, if I couldn't study, I would invite others to study elsewhere. Now, my kitchen is a different place. I gained the lbs I lost last year tangina men"
2322,"@maxinismmm true, like medj you will doubt because you graduated only because of online but on a lighter note, we should not invalidate our efforts to continue studying despite the difficulty of the online setup. go ahead! 🥺💙"
2323,I have no intention of studying online class ol8🙂🙂
2324,"I'm actually tired of studying.

I don't know the destination of this online class after that it is expected of you as if you handled real patients in the hospital."
2325,"I really miss that class so much?? just now I was interested in studying again because just now I heard a synchronous discussion that has value and is really related to PT. even though it was online, I felt like we had a face to face class with sir before hay"
2326,"This year I really went through a lot,,, online class plus my business is very stressful but I'm happy that I still received this kind of achievement!!!! Thank you too seventeen you have been my inspiration to study hard and work hard to save!!! 💗💗💗"
2327,"miss studying f2f, I'm just lazy online"
2328,"Hats off to the students who manage KPOP ONLINE SHOPS! Children today are capable. When I was a student, I did nothing but study and watch crunchyroll."
2329,putanginaaaaa now that I'm down I want to study what about in the third year it's just majors pukinginang I don't want online class anymore
2330,"I'm losing the will to study. I don't think this is laziness. I think this is me accepting the fact that the online class doesn't work for me. So no matter what I study, nothing happens. And I hate it."
2331,"#. it's hard to study medicine online whore how is that, virtual teaching how to use the sphygmomanometer? ._."
2332,I didn't want to go in and study tomorrow but I remembered that it's online learning😀
2333,I know our online class is over but I still have to study for the preparation for G12 huhu it's scary can I just be dikey's jowa😭😭😭😭
2334,"studying is stressful!!! if it's still an online class next school year, I don't want it :))) stop first."
2335,"It's hard to study when your internet is slow.
It's hard to study when your teacher doesn't teach.
It's hard to study when you lose your will.

In other words,
It's hard to study IN ONLINE CLASS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
2336,I would like to study in Manila but I think it's too bad tuition is only online class ☹️
2337,learn crypto trading &gt;&gt;&gt; online classes
2338,"I'm too lazy to study ffs. I want to take a break but it's a shame because it's only an online class. But still, the stresz is real if things pile up 🤦🏽‍♀️"
2339,online class and then you will be told to always focus on the gadget 👍👍 don't let me study HAHAHA
2340,"I no longer have the motivation to study. I just attend sync classes for the sake of attendance. My outputs are so half-assed. My body clock is toxic. I don't learn anything from online learning.

I'M SO TIRED I WANT TO GO ON VACATION!"
2341,@DranrebAo3 @bgyo_ph hahaha online duty because we are now in community med (whole month of May) and my surgery schedule for April is also over. Hahahaha. that's why hanging out instead of studying hahahaha
2342,"I really don't want to study, if it's still online next year I don't know if I'll enroll again"
2343,"I hope this pandemic doesn't stop me from studying if the only important thing is work. I would totally understand that, I wasn't the one who insisted on pursuing online education, right?"
2344,Those brothers have done nothing but play Mobile legend instead of studying.. And the cheap ones always call Tina the name of the devil....I hope these online games will be deleted. https://t.co/Sy9k3zRumM
2345,"My relatives will say that it is important to study, but they will not believe me when I say that the superstitions and pseudo science that they see online are not true."
2346,@messissippii HAHAHAHA THAT STUDENT IS BUSY PREPARING FOR ONLINE GRADUATION
2347,Chemistry is boring because it's boring to study online ugh 😤
2348,"Seriously, it's not easy to study using online-class hehehe, it's tiring den fu"
2349,I don't want to study online class again. My mental health is no longer a concern. I'm 👌 this close to giving up... Government? Pls how long must my mental health suffer for your incompetence...
2350,"TANGINA I DON'T WANT TO STUDY WHORE, TALK IN ONLINE CLASS BAT AGAIN DROP WORK AND PETA???!!!!"
2351,IT'S LIKE AN EXPERIENCE WHEN YOU HAVE ONLINE CLASSES ENGENES TO STUDY THE KOREAN LANGUAGE ✊🏻😭
2352,"to those who are tired and lazy to study in this online class, think of us who don't have an internet connection at home. We are all suffering so don't give up and continue to move forward."
2353,"It's really annoying to do online class/study at home. All the time you just focus on the screen, so your parents don't know when you don't have loads and piles of loads. You will be instructed every time you cram. It will be said, you're just sitting there. Wow."
2354,Yoqo to study. That's why I went to college to get fucked then boom suddenly online class and pandemic
2355,"just please I'm so tired of online classes. I want to go to school, study at the library, eat at the canteen, walk around the field. please i want my life back before rona came"
2356,"Online class time:
I just want to study 🤭😳 but why are you showing/making me feel BTW, my street is welcome here 😅😂🥰💜.#TAEHYUNG #JUNGKOOK #TAEKOOK https://t.co/I5Cyo9HPqu"
2357,"Geguh, I already said that the online class will work for me for the first time, even if it's still f2f, it's the first time I'll really study HAHAHAHAH"
2358,Pls I don't want to study online school again next school year and the pandemic is not over yet. IM very tired:(((
2359,"@cosmicRailway_L I'm a 3rd year college student, first product of kto12 and remote learning. We all know that it's hard to study especially now online... They're actually save from sadness, anxiety, they always lift me up, and tell me not to give up, if I want to see them, then study hard."
2360,He says he's tired of studying but he's always online in ol games 💀
2361,"""At least it's like an online class.""

*Just too lazy to study* https://t.co/DS53ohq8uS"
2362,I will not do plastic surgery anymore academic freeze now putangina I don't want to study fuck online classes
2363,@takyuyaki para sweet and juicy besh 😩 char hahaha I'm so excited to study online hahahahahahahaha
2364,"When I go there, I will not be a student. Or it will be difficult for me to study. But it's easy if I have an online class here and I'm there."
2365,"Surprisingly, I told my mom ""I also want to go to the dorm; I want to study""

hahahaahuhuhu I can't study here at home :&lt; f online classes"
2366,"@gookalii That's how DEPED really pushed the online class even tho it's not really effective in the PINAS. With the amount of hindrance disregarding the good quality of education, Briones said something can only be said to have been done. Anyway comgrats just study hard✨👏"
2367,I don't feel like studying anymore pt 2. online class
2368,"me bfore 2nd sem: *rants about online class and how exhausted i am*
mom: you don't have anything else to do but study.

---

after getting some health problems
mom: because you're just studying, you're not thinking about your health.

ah, i don't know."
2369,"1st Choice : AB Mass Communications
2nd Choice: AB Journalism
3rd Choice: BS Biology

Actual Course: BS Electronics and Communications Engineering, then BS Clinical Psychology

Natuwang mag-aral. After ng 2 courses, nag online course for CPT, then nag MA in GC and MA Psychology."
2370,"Me: I don't want to study, there are many requirements, online class is difficult.

Also me: doing my requirements at 1:00 in the morning 🥴"
2371,@ShopeePH Shopee Weekend + study and complain because of the online class
2372,Studying online is stressful!
2373,study online you whore
2374,"I really don't feel like studying anymore, this online class is not healthy anymore"
2375,#NAME?
2376,You thought it was that easy to study porket module and online.
2377,"nakakaumay mag-aral sa screen all the time,, i miss handwritting notes :((  if only online univ allowed for some time, I'd still write my notes (with enough motivation lmao)"
2378,"it's tiring to study online I really have no will hngggh

only you du³⁰"
2379,"It's an online class so just chill? Then expect to be an achiever anyway hahaha. You only care about the results but not the process how I got to those achievements. Pota pls I'm tired, I'll push myself to study hard and then I'll do the same to you--- liek 😀😀😀"
2380,It was big when I invested for my online class set up just to encourage me to study😪
2381,"It's really hard to study at home, online class while looking after a child"
2382,"""You're too lazy to study, you're already at home""
""You will not pass without doing anything""
""Why is _____ home schooled, you are not?""

says, people who have never experienced the online class.
it's good to slap it."
2383,"never stop learning. It's not porket, you're psychotic, you can't study cooking anymore. or animation. or writing stories.

apply to free online courses. watch tutorials on youtube.

don't box yourself in just one profession"
2384,"My brain and body can no longer think of anything related to acads. I literally feel nauseous, sick to my stomach, and find it hard to breathe when I think about my backlogs. I don't even attend online classes anymore.

I can and want to study and act for the masses."
2385,I'm really lazy to do things that don't motivate me to study anymore. hahahahaha I don't want online class anymore 😭
2386,It's tiring to study especially online! Umay
2387,I was immediately taken aback when I read this online gossip about this motherfucker!!!! I'm supposed to study!!!
2388,"""create a short paragraph expressing their thoughts/feelings on how they cope up with being in an online class for almost a year""

ggo, yoko na nga mag-aral tas cope up ka pa, hinayupak"
2389,"nothing else to do in the afternoon but study? jusko HAHAHAHHA if you only knew how hard it is to study in an online class. If only you knew how much is given to our student activities. Although time management skills have been developed, it's still tiring"
2390,When I was face to face I didn't experience it but now online HAHHAHAHA the house is always spinning in front of my eyes T_T so I'm going to stagger to walk HAHAHHAHAHA how about 2 hours of sleep we both have??? It's fun to study! It's so much fun
2391,Why do you want to suspend online classes? Yes there are students who lack access but you just have to accept that fact and provide another alternative for them. Don't sympathize with others who want to study.
2392,I really don't have the will to study anymore😭 I feel like I'm learning NOTHING😭 I really want to but shits my sanity is running out in the online class🤧 I'm almost finished😢
2393,case I don't want to study vet through online class. I need hands on experience. I WANT hands on experience.
2394,I want to give myself a present but I don't have money but I'm TIRED I'M TIRED TO STUDY I'M TIRED ONLINE CLASS
2395,"I just remembered.

Yes, right? that's Ssob's first day to study again, even if it's just a game, and online, since he stopped studying☹️

@SB19Official #SB19"
2396,"I miss studying. but not the online class setting. the one in the classroom really. heyyy, those bomb threats in intramuros... matic dismissal then straight to manila hehfjajahw or maybe I'll eat my sister's spicy chicken or liempuhan before going home 🥲"
2397,Me na me who instead of studying read an online rambulan
2398,"It's not fun to study online law school :(((((

https://t.co/YW26tzoywb"
2399,I really hate you online class. You make me vovo more. I've been thinking twice about whether or not I should become a teacher or stop studying you biset 😤
2400,"Justin Dazonbreik 💚
Josh Copo ❤
Pablo Lomo 💜
Kento Lala 🖤
[Prof.] Stellbest Part 💛

it's especially good to study here hahaha😁🤘

Your online class really sucks 😂

@SB19Official #SB19
#SB19OnlineSchoolBoys"
2401,"The prof said hello to us and then asked me exactly, I said that I really don't want to study and I didn't really learn anything in this online class t__t he agrees huhu auq na"
2402,"[Not SB19 Related]

It is difficult to study online especially if the internet is weak. I want to study but I don't learn anything. Why is it okay with others? they seem to be good at class. Hey, why me? My brain seems to have a problem. Wahhh, I don't want to stop?"
2403,"Or am I losing the desire to study? I feel like I want to stop. Or am I tired of the online class? Or because it's just recovering from illness.

What's up?"
2404,How to study math online.
2405,@SB19Official IF THESE ARE MY FRIENDS IN ONLINE CLASS I WOULD HAVE FUN TO STUDY 😭😭
2406,"if you see me online here, please reprimand me and please get rid of me plszbxvnzx I need to study 🤧"
2407,I shouldn't have enrolled this sem grr I don't want to study online AAAAA stop it pls
2408,"If you are lazy to study, you will learn even more in this online class😔"
2409,"Mom: It's okay to call the cell phone
Me: Ma, I'm busy with OC
Mom: All right, just study there
Me: Ma, not an online class 😅 Online Concert"
2410,"me: I don't want to study anymore 😤😩😵
also me: **enrolls to 5 different free online courses in Coursera** 🥰🤓📚"
2411,"In the online class, I learned:
Didn't come in anymore.
 No more passing on-time.
No more reviewing and just correctly scanning the answer to the module.
Don't study anymore.
 Sorry. :)"
2412,It's hard when you're a kinesthetic learner and have online classes + you're lazy/don't want to study HAHAHAUQNA
2413,"""Are you tired of studying sitting all day?"" They told me when they didn't enroll because they couldn't do online classes"
2414,"REAL TALK.
Studying is boring because it's an online setting. What? It's boring and sometimes you don't learn anything. But it's just a good feeling that there are teachers who give ""Words of Encouragement"". Determined to study.🥺❤"
2415,the online school is just made by the devil so don't study anymore
2416,it's hard to study Psy Stat without f2f teaching then purely online then asynch yet :(
2417,"I don't know if it's just me or I'm really lazy to study now. Huhu it's hard to focus!!! I don't understand anything in our lessons and then when it's online class, my brain is flying 🤧 How many weeks of this I don't want anymore"
2418,"it's boring to study in an online class, it's tiring"
2419,It's boring to study online. Hey
2420,"When online classes start next school year, I really don't want to study anymore 🥴"
2421,"FIRST MS EXAM DONE

Yoko to take exams and study online plz when are we going to expel the sloppy I want face to face naaaaa huhuhuhu"
2422,even the smartest among us will only be able to study like I do if the activities go together like this and you still go to school in the afternoon. You know what? FUCK THIS FUCKING ONLINE SCHOOL SHIT.
2423,"Is this your basis??..what is that.... Kid, just answer your modules..I will pass it in 16..so it needs to be finished...even if you study online, study hard.. if you are struggling I will tutor you for free 😁😁😁😁😁😁yiiieeee🤣😂"
2424,"Every time the Ikako plays while reviewing/doing school works, I suddenly start crying. I feel like I'm not alone in this online set-up, that with the help of your music, it's like I have my friends with me to study with. Thank you @SB19Official

#SB19"
2425,"what is my motivation?

sir, tbh nothing really. it's just an obligation for me to study because my tuition is expensive. I really want to do a gap year because online learning is not effective. I can't do it anymore, I don't want it anymore. that's it, bow."
2426,"Exam week but I'm still guiding and helping my siblings with their online classes up until homework time. I want to study, but then again as the eldest, we're the only ones here and helper, I'm the one responsible. I just wish the Lord would bless me, give me an answer 😅"
2427,"I believe, we all have choices. It's not because you're mentally affected, it's because you didn't make a choice. If it's really your choice to study, you can find a way. At first I disliked online/modular learning."
2428,"I am under modular and attendance is not required in all classes. I also prefer to read and study alone.

I'm not going to pretend because I didn't learn anything from the online set-up because you can't really learn anything from the online set-up to begin with."
2429,"modules are hard, online classes are also hard :,,) putangina yoko to study lods"
2430,"The online class is hard, I study hard and then I get accused of just using a cellphone and using the online class as an excuse to run away from homework 🤡🤡 go study you bitch"
2431,"Did you think we were able to adapt to the online classes system right away? what are we robots? Study Charles Darwin first, you will understand the hardships of people. It's not because we have an online background, that's why we can study full blown classes right away. Train us first little by little."
2432,"It's very tiring to study online med, isn't it? Not just double or triple. Sometimes, your level of tiredness is too much to just rest."
2433,"I borrowed money from mom, to pay for subscriptions and merch. Then when I was about to pay, he said no more, he said I should study better hahahaha the online class also brought something good 😭"
2434,nitatamad na aq mag-aral because this whole online class setting isn’t helping me learn things efficiently and is seriously affecting my psychological well-being. legit thinking of taking a year off after shs kaso i’m also thinking din na sayang yung time. :(
2435,"When I was f2f, even though I got home at 9pm and was so tired, I was still able to study and do reqs until dawn, then woke up at 6am, left at 7am for the 9am class...

Now that I'm at home I can't finish anything sober. Fvck online class.

I miss my productive self..."
2436,"You know I don't really want to study now because I feel like I won't be accepted at work because my knowledge + skills are not enough, especially since there is a pandemic and only online classes. hehe nothing. just my tots"
2437,"""We have a greater enemy than the American people–ourselves."" -General Luna

It is applicable until now, right? It can also be done in online class. You are against yourself, your own laziness or your own will to study

@SB19Official
#STANWORLD #SB19
#SB19WHATappreciationDay"
2438,"My energy was seriously good after the semester started. I said that I will try to be consistent, but it seems that as the day goes on in the online class, I lose the desire to listen and study, I don't like it"
2439,"I don't want to study because what else is it for, I'll only graduate online, it's just silly haha"
2440,i miss dancing :( i don't have time to study dance because of the online class :(
2441,"MOM I HAVEN'T DONE TRY ME FOR TITRATION AT CHEM LEC, HELP ME, I DON'T KNOW WHEN I WILL WORK, I DON'T WANT TO STUDY NOW ONLY ONLINE CLASS 😭"
2442,"I always say ""I'm too lazy to study"" but TBH I'm not really lazy it's just that it's draining because sometimes you really lose the will to take online classes but trust me ""I'm trying"""
2443,@RAGNVlNDR it's crazy to study bitch in the 3rd year it's still an online class I don't know what
2444,"It's really hard to study online when you don't have the tools, the ending is always ""tomorrow again"" and you close your eyes."
2445,SG doesn't have online courses?!? surge of covid cases but the mayor of Davao is leaving to ~study~??? NO ONE BELIEVES YOU
2446,"I always say that ""I'm too lazy to study"" but tbh I'm not really lazy it's just that it just drains me physically and mentally sometimes you really lose the will to take an online class and do your assigned task but trust me ""I'M TRYING"""
2447,I'm tired of studying pls I want to do live online selling on fb 🥵🥵
2448,"I'm not the only one who is lazy to study, right?

I don't know if there is something in the online class that is not in the f2f that makes you really want to study"
2449,"I always say ""I'm lazy to study"" but tbh no I'm not really lazy it's just that it's really draining. sometimes you just lose the will to take online classes but trust me I'm trying hay :("
2450,"They said we study together, I asked you out yesterday at 3pm today and then I'll see you online at valorant @johnxandreii :-))) crazy"
2451,"Online class is really not for me HAHAHAHAHA no matter what I do it's really boring to study I just don't want to leave it, it's a waste of a year"
2452,"also, keep in mind that whenever you complain that online classes are difficult but you would rather chase clout on stan twitter than study, there are kids out there somewhere who don't have the privilege to enroll in online classes. they don't have wifi, laptops, and proper cellphones."
2453,"I want to study soberly, seriously, to learn something... I don't want modules or online classes anymore.... ☹️☹️☹️"
2454,I admit HAHAHAHAHAHAHAHA I really don't want to study in an online class.
2455,"hixzt 😢😢😢
dropped a class again

This online set-up is really cursed :(((

also it's really hard to have the will to study at this time because of the incompetence of the administration

too bad I still want that class"
2456,"To the students in modular or online class, let's study hard! Let's think @JoshCullen_s shares our success.

(I really won't do it anymore, promise🤧)

#Perfect10Countdown What? by SB19 @StarFMBaguio

@SB19Official
#STANWORLD #SB19
#JoshBeforeSB19"
2457,I'm no longer in the mood to study hahah why are you forcing me to go thru online?
2458,"EVEN IF IT'S ONLINE OR FACE TO FACE, I DON'T WANT TO STUDY JUSKO 😭😭😭"
2459,"My motivation to study is low, I can't afford the online class anymore"
2460,I don't know if I'm unmotivated to study bc of online classes or bc I really don't like what I'm studying 🙃🙃🙃
2461,"uh I always say ""I'm lazy to study"" but tbh no I'm not really lazy it's just that it's really draining. sometimes you just lose the will to take online classes but trust me I'm trying hay :("
